date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:30	283/283	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:07:22%20GMT	http://arquivos.info.ufrn.br/arquivos/2018186017de43518732685396f8b8428/IMG_20180529_204657968.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2018186017de43518732685396f8b8428/IMG_20180529_204657968.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:31	2340456/2340456	---M--	200	added ('OK')	image/jpeg	etag:%2223b668-57008b105bcd1;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/201814714242205187296ac0e3b551ef8/IMG_20180529_072632003.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/201814714242205187296ac0e3b551ef8/IMG_20180529_072632003.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:32	2673878/2673878	---M--	200	added ('OK')	image/jpeg	etag:%2228ccd6-57001d1a4cf8e;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/2018069079f79c5186147ae82e306e482/IMG_20180528_082015645_HDR.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2018069079f79c5186147ae82e306e482/IMG_20180528_082015645_HDR.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:34	283/283	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:07:28%20GMT	http://arquivos.info.ufrn.br/arquivos/201801017687505187334e7542377b154/IMG_20180528_085109101.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/201801017687505187334e7542377b154/IMG_20180528_085109101.256.delayed	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:34	3191543/3191543	---M--	200	added ('OK')	image/jpeg	etag:%2230b2f7-57008bde4d570;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/20180722186edf51873156aa81f801f8a/IMG_20180529_181742658.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/20180722186edf51873156aa81f801f8a/IMG_20180529_181742658.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:35	283/283	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:07:29%20GMT	http://arquivos.info.ufrn.br/arquivos/2018013119f6fa5187188583529e2d2fb/IMG_20180528_085955272.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2018013119f6fa5187188583529e2d2fb/IMG_20180528_085955272.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:39	283/283	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:07:30%20GMT	http://arquivos.info.ufrn.br/arquivos/201817309099e85187344611f96ccb289/IMG_20180529_140735743.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/201817309099e85187344611f96ccb289/IMG_20180529_140735743.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:46	3122533/3122533	---M--	200	added ('OK')	image/jpeg	etag:%222fa565-57008c4651917;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/2018186017de43518732685396f8b8428/IMG_20180529_204657968.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2018186017de43518732685396f8b8428/IMG_20180529_204657968.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:47	283/283	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:07:41%20GMT	http://arquivos.info.ufrn.br/arquivos/2018136200622851873462a80d0927e9f/IMG_20180530_160427195.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2018136200622851873462a80d0927e9f/IMG_20180530_160427195.25c.delayed	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:47	3033086/3033086	---M--	200	added ('OK')	image/jpeg	etag:%222e47fe-57008c802ef78;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/201801017687505187334e7542377b154/IMG_20180528_085109101.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/201801017687505187334e7542377b154/IMG_20180528_085109101.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:50	283/283	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:07:42%20GMT	http://arquivos.info.ufrn.br/arquivos/2018221152a25751873480c872a6bf6a3/IMG_20180530_155828599.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2018221152a25751873480c872a6bf6a3/IMG_20180530_155828599.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:50	2446433/2446433	---M--	200	added ('OK')	image/jpeg	etag:%22255461-57008cf79b165;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/201817309099e85187344611f96ccb289/IMG_20180529_140735743.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/201817309099e85187344611f96ccb289/IMG_20180529_140735743.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:53	283/283	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:07:45%20GMT	http://arquivos.info.ufrn.br/arquivos/2018239212e33651873834076f32b2d0f/IMG_20180530_192903292.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2018239212e33651873834076f32b2d0f/IMG_20180530_192903292.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:53	3274214/3274214	---M--	200	added ('OK')	image/jpeg	etag:%2231f5e6-57008642ad590;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/2018013119f6fa5187188583529e2d2fb/IMG_20180528_085955272.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2018013119f6fa5187188583529e2d2fb/IMG_20180528_085955272.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:07:57	318/318	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:07:49%20GMT	http://arquivos.info.ufrn.br/arquivos/2017128050cefe438394445ea9e37e39d/Apresentao_Artistica_de_Abertura-_Grupo_Sementes_da_Terra.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2017128050cefe438394445ea9e37e39d/Apresentao_Artistica_de_Abertura-_Grupo_Sementes_da_Terra.jpg	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:00	309928/309928	---M--	200	added ('OK')	image/jpeg	etag:%224baa8-558e8b91e6f60;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/2017128050cefe438394445ea9e37e39d/Apresentao_Artistica_de_Abertura-_Grupo_Sementes_da_Terra.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2017128050cefe438394445ea9e37e39d/Apresentao_Artistica_de_Abertura-_Grupo_Sementes_da_Terra.jpg	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:01	273/273	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:07:55%20GMT	http://arquivos.info.ufrn.br/arquivos/20171691280dba4383946d66f41384020/Coffee_Break.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/20171691280dba4383946d66f41384020/Coffee_Break.264.delayed	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:01	3177094/3177094	---M--	200	added ('OK')	image/jpeg	etag:%22307a86-57008d2c7b9db;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/2018136200622851873462a80d0927e9f/IMG_20180530_160427195.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2018136200622851873462a80d0927e9f/IMG_20180530_160427195.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:08:01	2160696/2160696	---M--	200	added ('OK')	image/jpeg	etag:%2220f838-57008d60b69d9;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/2018221152a25751873480c872a6bf6a3/IMG_20180530_155828599.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2018221152a25751873480c872a6bf6a3/IMG_20180530_155828599.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:08:03	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:07:56%20GMT	http://arquivos.info.ufrn.br/arquivos/201724704789ec4383947da64ad3a0fa2/Credenciamento.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/201724704789ec4383947da64ad3a0fa2/Credenciamento.jpg	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:03	134937/134937	---M--	200	added ('OK')	image/jpeg	etag:%2220f19-558e8b8f8d634;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/20171691280dba4383946d66f41384020/Coffee_Break.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/20171691280dba4383946d66f41384020/Coffee_Break.jpg	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:05	282/282	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:07:59%20GMT	http://arquivos.info.ufrn.br/arquivos/20171240606b0b43839492a1c05fee7ca/Exposio_Fotografica_1.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/20171240606b0b43839492a1c05fee7ca/Exposio_Fotografica_1.jpg	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:07	282/282	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:08:01%20GMT	http://arquivos.info.ufrn.br/arquivos/2017102189409143839507d1acca115f3/Exposio_Fotografica_2.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2017102189409143839507d1acca115f3/Exposio_Fotografica_2.jpg	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:07	354659/354659	---M--	200	added ('OK')	image/jpeg	etag:%2256963-558e8b9e9616a;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/201724704789ec4383947da64ad3a0fa2/Credenciamento.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/201724704789ec4383947da64ad3a0fa2/Credenciamento.jpg	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:10	282/282	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:08:03%20GMT	http://arquivos.info.ufrn.br/arquivos/2017077139588c4383953a5207a8a7c59/Exposio_Fotografica_3.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2017077139588c4383953a5207a8a7c59/Exposio_Fotografica_3.26c.delayed	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:10	2944554/2944554	---M--	200	added ('OK')	image/jpeg	etag:%222cee2a-57009003a83ed;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/2018239212e33651873834076f32b2d0f/IMG_20180530_192903292.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2018239212e33651873834076f32b2d0f/IMG_20180530_192903292.jpg	(from https://ceres.ufrn.br/documentos/documento?id=266926710)
10:08:13	298/298	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:08:05%20GMT	http://arquivos.info.ufrn.br/arquivos/201707524405824383957ff0560832d71/Mesa_Redonda_de_Abertura_do_VIII_SEPE.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/201707524405824383957ff0560832d71/Mesa_Redonda_de_Abertura_do_VIII_SEPE.jpg	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:13	94438/94438	---M--	200	added ('OK')	image/jpeg	etag:%22170e6-558e8c06c43c6;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/2017077139588c4383953a5207a8a7c59/Exposio_Fotografica_3.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2017077139588c4383953a5207a8a7c59/Exposio_Fotografica_3.jpg	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:16	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:08:09%20GMT	http://arquivos.info.ufrn.br/arquivos/2017114251babd43839691f746f74cb8a/Mesa_Redonda_3.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2017114251babd43839691f746f74cb8a/Mesa_Redonda_3.270.delayed	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:16	417707/417707	---M--	200	added ('OK')	image/jpeg	etag:%2265fab-558e8c7942141;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/201707524405824383957ff0560832d71/Mesa_Redonda_de_Abertura_do_VIII_SEPE.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/201707524405824383957ff0560832d71/Mesa_Redonda_de_Abertura_do_VIII_SEPE.jpg	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:17	277/277	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:08:12%20GMT	http://arquivos.info.ufrn.br/arquivos/20172542221d3b43839725b3d2b950586/Mesa_Redonda_4_1.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/20172542221d3b43839725b3d2b950586/Mesa_Redonda_4_1.272.delayed	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:18	114726/114726	---M--	200	added ('OK')	image/jpeg	etag:%221c026-558e8d28f69b6;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/20172542221d3b43839725b3d2b950586/Mesa_Redonda_4_1.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/20172542221d3b43839725b3d2b950586/Mesa_Redonda_4_1.jpg	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:19	4737518/4737518	---M--	200	added ('OK')	image/jpeg	etag:%224849ee-558e8bcf3ce5d;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/20171240606b0b43839492a1c05fee7ca/Exposio_Fotografica_1.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/20171240606b0b43839492a1c05fee7ca/Exposio_Fotografica_1.jpg	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:21	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:08:14%20GMT	http://arquivos.info.ufrn.br/arquivos/201707021760eb4384007834f9bfe5c26/Mesa_Redonda_5.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/201707021760eb4384007834f9bfe5c26/Mesa_Redonda_5.274.delayed	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:21	4133911/4133911	---M--	200	added ('OK')	image/jpeg	etag:%223f1417-558e8bf821580;61440401935ec%22	https://arquivos.info.ufrn.br/arquivos/2017102189409143839507d1acca115f3/Exposio_Fotografica_2.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/2017102189409143839507d1acca115f3/Exposio_Fotografica_2.jpg	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
10:08:23	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Jun%202024%2013:08:16%20GMT	http://arquivos.info.ufrn.br/arquivos/201709308463a643840091da2521e5d65/Mesa_Redonda_6.jpg	C:/Meus%20Sites/CERES/arquivos.info.ufrn.br/arquivos/201709308463a643840091da2521e5d65/Mesa_Redonda_6.jpg	(from https://ceres.ufrn.br/documentos/documento?id=236876033)
